Recommendation_Rank,Recommendation_Score,Dataset_ID,Publication_Title,Year,PMID / DOI,Repository,Species,Tissue,Disease_or_Condition,Technology,Cell_Number,Neural_Related_Cell_Type,Marker_Genes,Evidence_Level,Neural_Cell_Prevalence,Cell_Communication_Analysis,Spatial_Location_Info,Application_Tags,Download_Link,Accession_or_Project_Link,Notes
11,122.87,CELLxGENE:05a8c945-bc12-414f-960d-a31943bbcdd1,Single-cell integration and multi-modal profiling reveals phenotypes and spatial organization of neutrophils in colorectal cancer,2026,10.1016/j.ccell.2025.12.003,CELLxGENE Discover,Homo sapiens,ascending colon; blood; caecum; caecum epithelium; colon; colonic epithelium; colorectal mucosa; colorectum; descending colon; hepatic cecum; hepatic flexure of colon; left colon; liver; lymph node; mesenteric lymph node; mucosa of transverse colon; rectosigmoid junction; rectum; right colon; sigmoid colon; splenic flexure of colon; transverse colon,colon adenocarcinoma; colon adenocarcinoma || mucinous adenocarcinoma; colon adenoma; colon adenoma || colorectal tubulovillous adenoma; colon adenoma || tubular adenoma; colon carcinoma; colon sessile serrated adenoma/polyp; colorectal adenocarcinoma; colorectal cancer; colorectal neoplasm; colorectal tubulovillous adenoma; hyperplastic polyp; metastasis from malignant tumor of colon; mucinous adenocarcinoma; normal; polyp of colon; rectum adenocarcinoma; tubular adenoma,spatial transcriptomics,3790266,Schwann cell | matched labels: Schwann cell; enteroendocrine cell of colon,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,not determined from repository metadata,yes,神经-免疫通讯;外周神经再生,https://datasets.cellxgene.cziscience.com/4a8b9568-965e-46b8-a427-baab6bf018e5.h5ad ; collection: https://cellxgene.cziscience.com/collections/3a844375-60ea-474b-adf1-98e76928baee,https://cellxgene.cziscience.com/collections/3a844375-60ea-474b-adf1-98e76928baee,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
12,121.52,CELLxGENE:a48343a2-7570-49d0-8849-9db6c21dffcb,Single Nuclei Atlas of Innervated and Denervated Mouse Muscle,2025,10.1038/s41467-025-57487-1,CELLxGENE Discover,Mus musculus,gastrocnemius; skeletal muscle tissue of tibialis anterior,lesion of sciatic nerve; neuromuscular junction disease; normal; toxin-mediated infectious botulism,snRNA-seq,102688,Schwann cell | matched labels: Schwann cell; perineurial cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,not determined from repository metadata,no,针灸作用相关;外周神经再生,https://datasets.cellxgene.cziscience.com/f991c1a9-d2ff-488e-bd18-d75e0e1d2d7b.h5ad ; collection: https://cellxgene.cziscience.com/collections/ef9f0fae-c12c-4f1a-bb67-63346c2ae0f1,https://cellxgene.cziscience.com/collections/ef9f0fae-c12c-4f1a-bb67-63346c2ae0f1,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
13,115.55,CELLxGENE:b9b4cf27-9c22-410d-8bd8-5d43e379485b,Spatiotemporal analysis of human intestinal development at single-cell resolution,2021,10.1016/j.cell.2020.12.016,CELLxGENE Discover,Homo sapiens,colon,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: enteroendocrine cell; glial cell; inhibitory motor neuron; interneuron,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/fd6f06f5-6046-4dad-b732-4cbe8a57a653.h5ad ; collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
14,115.55,CELLxGENE:774de9c6-9752-4e39-89a9-2a88c869d52a,Spatiotemporal analysis of human intestinal development at single-cell resolution,2021,10.1016/j.cell.2020.12.016,CELLxGENE Discover,Homo sapiens,colon,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: enteroendocrine cell; glial cell; inhibitory motor neuron; interneuron,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/40fe3e03-cb51-4aae-8dad-5cefa50c6350.h5ad ; collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
15,115.55,CELLxGENE:4506d9e3-4543-4464-aeae-b0b04eee1cea,Spatiotemporal analysis of human intestinal development at single-cell resolution,2021,10.1016/j.cell.2020.12.016,CELLxGENE Discover,Homo sapiens,colon,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: enteroendocrine cell; glial cell; inhibitory motor neuron,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/7f17c607-720a-4127-902a-551195bc901e.h5ad ; collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
16,113.57,CELLxGENE:7be23e52-e357-45d6-861f-31166913104e,Single-cell integration reveals metaplasia in inflammatory gut diseases,2025,10.1038/s41586-024-07571-1,CELLxGENE Discover,Homo sapiens,ascending colon; body of stomach; buccal mucosa; caecum; colon; colonic mucosa; descending colon; duodenum; esophagus; gingiva; ileum; intestine; jejunum; labial gland; mesenteric lymph node; periodontium; pyloric antrum; pylorus; rectosigmoid junction; rectum; sigmoid colon; small intestine; stomach; transverse colon,Crohn disease; colorectal cancer; gastric cancer; normal; ulcerative colitis,scRNA-seq,23904,peripheral/enteric glia | matched labels: afferent neuron; enteric neuron; enteroglial cell; inhibitory motor neuron; interneuron; motor neuron,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,not determined from repository metadata,no,神经-免疫通讯;炎症;伤口修复,https://datasets.cellxgene.cziscience.com/02f1646e-52ca-4b4a-aec2-f4469f216cea.h5ad ; collection: https://cellxgene.cziscience.com/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5,https://cellxgene.cziscience.com/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
17,112.45,CELLxGENE:80a2c5b6-02e7-4fc0-9f12-179f5247c1bc,Cells of the human intestinal tract mapped across space and time,2022,10.1038/s41586-021-03852-1,CELLxGENE Discover,Homo sapiens,ascending colon; caecum; colon; descending colon; duodenum; ileum; jejunum; large intestine; lymph node; mesenteric lymph node; rectum; sigmoid colon; small intestine; transverse colon; vermiform appendix,Crohn disease; normal,scRNA-seq,428469,peripheral/enteric glia | matched labels: enteroendocrine cell; glial cell; inhibitory motor neuron; interneuron; motor neuron; primary sensory neuron (sensu Teleostei); type D enteroendocrine cell; type EC enteroendocrine cell; type I enteroendocrine cell; type L enteroendocrine cell; type N enteroendocrine cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,not determined from repository metadata,no,针灸作用相关;神经-免疫通讯;炎症,https://datasets.cellxgene.cziscience.com/47ae9727-f767-46b8-9d56-a25ddcd9ae94.h5ad ; collection: https://cellxgene.cziscience.com/collections/e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a,https://cellxgene.cziscience.com/collections/e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
18,111.05,CELLxGENE:bb0818d3-474e-44f4-a82a-169f3c62c94c,Single-cell integration reveals metaplasia in inflammatory gut diseases,2025,10.1038/s41586-024-07571-1,CELLxGENE Discover,Homo sapiens,ascending colon; body of stomach; buccal mucosa; caecum; colon; colonic epithelium; colonic mucosa; descending colon; duodenal epithelium; duodenum; epithelium of esophagus; epithelium of rectum; epithelium of small intestine; epithelium of stomach; esophagus; gingiva; ileal epithelium; ileum; ileum lamina propria; intestine; jejunum; labial gland; lamina propria of mucosa of colon; lamina propria of small intestine; mesenteric lymph node; parotid gland; periodontium; pyloric antrum; pylorus; rectosigmoid junction; rectum; sigmoid colon; small intestine; stomach; transverse colon; vermiform appendix,normal,scRNA-seq,1077238,peripheral/enteric glia | matched labels: afferent neuron; enteric neuron; enteroendocrine cell; enteroglial cell; inhibitory motor neuron; interneuron; motor neuron; type EC enteroendocrine cell; type G enteroendocrine cell; type X enteroendocrine cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,not determined from repository metadata,no,神经-免疫通讯;炎症,https://datasets.cellxgene.cziscience.com/b801706d-6345-4af2-b3fe-8e30e0e6150b.h5ad ; collection: https://cellxgene.cziscience.com/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5,https://cellxgene.cziscience.com/collections/f11cb29c-b546-4738-9bd8-66ea621a7bd5,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
19,109.22,CELLxGENE:586bc89e-a4a1-4f60-a7b4-3d191f982286,Single Nuclei Atlas of Innervated and Denervated Mouse Muscle,2025,10.1038/s41467-025-57487-1,CELLxGENE Discover,Mus musculus,gastrocnemius; skeletal muscle tissue of tibialis anterior,lesion of sciatic nerve; normal,snRNA-seq,65272,Schwann cell | matched labels: Schwann cell; perineurial cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,针灸作用相关;外周神经再生,https://datasets.cellxgene.cziscience.com/9a778891-634b-4c91-85e2-0156810e7c68.h5ad ; collection: https://cellxgene.cziscience.com/collections/ef9f0fae-c12c-4f1a-bb67-63346c2ae0f1,https://cellxgene.cziscience.com/collections/ef9f0fae-c12c-4f1a-bb67-63346c2ae0f1,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
20,105.4,CELLxGENE:0e5c75da-7bc9-4a2c-83fc-ef1e378bd5f9,IBDverse: Cell type-resolved genetic variation shapes inflammatory bowel disease risk,2026,10.1038/s41586-026-10627-z,CELLxGENE Discover,Homo sapiens,blood; ileum; rectum,Crohn disease; normal,scRNA-seq,1852681,peripheral/enteric glia | matched labels: enterochromaffin-like cell; glial cell; intestinal enteroendocrine cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,not determined from repository metadata,no,神经-免疫通讯;炎症,https://datasets.cellxgene.cziscience.com/e3460364-c300-4616-9923-3a0224894998.h5ad ; collection: https://cellxgene.cziscience.com/collections/7f7fdf50-aa0e-4a6f-979c-53655cac9d5d,https://cellxgene.cziscience.com/collections/7f7fdf50-aa0e-4a6f-979c-53655cac9d5d,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
21,105.28,CELLxGENE:f8c4782a-5be8-4de6-81b6-ec57ead9c7b5,iPain atlas,2024,10.1038/s41467-024-52052-8,CELLxGENE Discover,Mus musculus,dorsal root ganglion,"normal; peripheral neuropathy, non-human animal",snRNA-seq,70963,neuron | matched labels: sensory neuron of dorsal root ganglion,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,not determined from repository metadata,no,针灸作用相关,https://datasets.cellxgene.cziscience.com/cd8f7735-09d8-4f58-b4d0-820184dc1b6b.h5ad ; collection: https://cellxgene.cziscience.com/collections/03608e22-227a-4492-910b-3cb3f16f952e,https://cellxgene.cziscience.com/collections/03608e22-227a-4492-910b-3cb3f16f952e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
22,105.28,CELLxGENE:e1b09351-423f-471b-998f-ff865cd2ca74,iPain atlas,2024,10.1038/s41467-024-52052-8,CELLxGENE Discover,Mus musculus,dorsal root ganglion,"normal; peripheral neuropathy, non-human animal",snRNA-seq,70963,neuron | matched labels: sensory neuron of dorsal root ganglion,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,not determined from repository metadata,no,针灸作用相关,https://datasets.cellxgene.cziscience.com/313a03f1-52d1-42aa-830c-d5185a7990a8.h5ad ; collection: https://cellxgene.cziscience.com/collections/03608e22-227a-4492-910b-3cb3f16f952e,https://cellxgene.cziscience.com/collections/03608e22-227a-4492-910b-3cb3f16f952e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
23,105.28,CELLxGENE:023d4d04-4671-4433-af8d-158a05c81d8b,iPain atlas,2024,10.1038/s41467-024-52052-8,CELLxGENE Discover,Mus musculus,dorsal root ganglion,"normal; peripheral neuropathy, non-human animal",snRNA-seq,70963,neuron | matched labels: sensory neuron of dorsal root ganglion,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,not determined from repository metadata,no,针灸作用相关,https://datasets.cellxgene.cziscience.com/8fc0b710-45f8-4cb8-b6db-fbadd5ed5ab5.h5ad ; collection: https://cellxgene.cziscience.com/collections/03608e22-227a-4492-910b-3cb3f16f952e,https://cellxgene.cziscience.com/collections/03608e22-227a-4492-910b-3cb3f16f952e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
24,103.55,CELLxGENE:0d49001d-cc88-4b70-8f0c-f1ca385d0199,Immune microniches shape intestinal Treg function,2024,10.1038/s41586-024-07251-0,CELLxGENE Discover,Mus musculus,colon,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: enteric neuron; glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/3255d9c6-4d7c-45ac-8fb9-2b6c867a6a45.h5ad ; collection: https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,https://cellxgene.cziscience.com/collections/4fa07e63-f712-4d8c-b885-2c515b5e2743,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
25,103.55,CELLxGENE:2d66790a-6621-4a49-8f0d-4002db5cc98d,Spatiotemporal analysis of human intestinal development at single-cell resolution,2021,10.1016/j.cell.2020.12.016,CELLxGENE Discover,Homo sapiens,colon,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell; inhibitory motor neuron; motor neuron,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/9a78f716-552d-4f25-a7d5-95bbf44d4d05.h5ad ; collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
26,102.9,CELLxGENE:d973ea15-3722-4bc8-a0e8-1d956d26e203,Single-nucleus transcriptomic analysis of human dorsal root ganglion neurons.,2025,10.7554/eLife.71752,CELLxGENE Discover,Homo sapiens,dorsal root ganglion,normal,snRNA-seq,1837,neuron | matched labels: sensory neuron of dorsal root ganglion,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,major or enriched neural population,not determined from repository metadata,no,针灸作用相关,https://datasets.cellxgene.cziscience.com/cf1271ef-08be-46dd-b39e-90c3aa72755e.h5ad ; collection: https://cellxgene.cziscience.com/collections/741abcf7-af4b-425d-88db-7e0b0d845719,https://cellxgene.cziscience.com/collections/741abcf7-af4b-425d-88db-7e0b0d845719,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
27,102.55,CELLxGENE:f7af19e4-fc64-46d0-ab3c-d4f70dd670f4,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,2024,10.1038/s41698-023-00488-4,CELLxGENE Discover,Homo sapiens,rectosigmoid junction,colorectal cancer,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: enteroglial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/7a9397d6-dbd5-400e-bd35-e31793ade49c.h5ad ; collection: https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba,https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
28,102.55,CELLxGENE:a73f7983-c94b-4005-aaed-30d35b61688a,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,2024,10.1038/s41698-023-00488-4,CELLxGENE Discover,Homo sapiens,caecum,colorectal cancer,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: enteroglial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,disease/injury-induced or disease-context neural population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/7e26f8dc-2b00-4b6a-9f1f-25a1ba853599.h5ad ; collection: https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba,https://cellxgene.cziscience.com/collections/68cba939-4e72-4405-80ef-512a05044fba,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
