paper_id,source,cell_type,original_symbol,old_decision,gate1_status,new_decision,action,marker_id,reason
DOI_10.1101_2024.10.23.619925,A_exclude,altered benign MSMB+ cells,MSMB,exclude,pass,include,merged_within_pool（并入主行）,,同键合并，附加证据: A_exclude:Methods: Gene-set enrichment analysis; Results p.17-18
DOI_10.1126_sciimmunol.adf9988,A_exclude,Macrophages,CD14,exclude,pass,include,merged_within_pool（并入主行）,,"同键合并，附加证据: A_exclude:Materials and Methods, Macrophage and DC culture and cytokine array, Page 18"
DOI_10.1126_sciimmunol.adf9988,A_exclude,Macrophages,CD206,exclude,pass,include,merged_within_pool（并入主行）,,"同键合并，附加证据: A_exclude:Materials and Methods, Macrophage and DC culture and cytokine array, Page 18"
DOI_10.64898_2025.12.18.695268,A_exclude,immune cells,PTPRC,exclude,pass,include,merged_within_pool（并入主行）,,"同键合并，附加证据: A_exclude:Materials and Methods, Cell clustering and identification"
DOI_10.1038_s41586-021-03710-0,new_finding,astrocyte,CHI3L1,never_reported,pass,include,appended,M00098,CHI3L1 is labelled among the upregulated gene markers of the COVID-19-associated astrocyte cluster in Extended Data Fig. 12; the cluster is described as marked by such inflammation/astrogliosis marker
DOI_10.1038_s41586-021-03710-0,A_exclude,astrocyte,GFAP,exclude,pass,include,appended,M00099,Author states the COVID-19-associated astrocyte cluster is marked by GFAP; this marker set is used to identify/characterize the astrocyte subcluster.
DOI_10.1038_s41586-021-03710-0,A_exclude,astrocyte,IFITM3,exclude,pass,include,appended,M00100,Author states the COVID-19-associated astrocyte cluster is marked by IFITM3; this marker set is used to identify/characterize the astrocyte subcluster.
DOI_10.1038_s41586-021-03710-0,new_finding,interneuron,PV,never_reported,pass,include,appended,M00101,"PV (parvalbumin, gene PVALB) is used in the cell-type label 'PV interneuron', showing it is a marker used for naming/identifying this interneuron subtype."
DOI_10.1038_s41586-021-03710-0,A_exclude,microglia,CD247,exclude,pass,include,appended,M00102,CD247 negativity is explicitly used as a marker criterion to subset and identify pure microglia during cell annotation.
DOI_10.1038_s41586-021-03710-0,A_exclude,microglia,MRC1,exclude,pass,include,appended,M00103,MRC1 negativity is explicitly used as a marker criterion to subset and identify pure microglia during cell annotation.
DOI_10.1038_s41586-021-03710-0,A_exclude,microglia,C1QC,exclude,pass,include,appended,M00104,Author states the COVID-19-associated microglia subpopulation is marked by C1QC; this marker set is used to define the disease-associated microglia subcluster.
DOI_10.1038_s41586-021-03710-0,new_finding,microglia,CD14,never_reported,pass,include,appended,M00105,CD14 is displayed in the COVID-19-enriched microglia marker panel used to define the COVID-19-associated microglia cluster; satisfies marker identity and annotation use.
DOI_10.1038_s41586-021-03710-0,A_exclude,microglia,CD74,exclude,pass,include,appended,M00106,Author states the COVID-19-associated microglia subpopulation is marked by CD74; used as part of the microglial activation marker set defining the subcluster.
DOI_10.1038_s41586-021-03710-0,A_exclude,microglia,FTH1,exclude,pass,include,appended,M00107,Author states the COVID-19-associated microglia subpopulation is marked by FTH1; used as part of the microglial activation marker set defining the subcluster.
DOI_10.1038_s41586-021-03710-0,A_exclude,microglia,FTL,exclude,pass,include,appended,M00108,Author states the COVID-19-associated microglia subpopulation is marked by FTL; used as part of the microglial activation marker set defining the subcluster.
DOI_10.1038_s41586-021-03710-0,new_finding,microglia,CX3CR1,never_reported,pass,include,appended,M00109,CX3CR1 is displayed in the homeostatic microglia marker panel used to define the homeostatic microglia cluster; satisfies marker identity and annotation use.
DOI_10.1038_s41586-021-03710-0,new_finding,microglia,IRAK3,never_reported,pass,include,appended,M00110,IRAK3 is displayed in the homeostatic microglia marker panel used to define the homeostatic microglia cluster; satisfies marker identity and annotation use.
DOI_10.1038_s41586-021-03710-0,new_finding,microglia,MEF2C,never_reported,pass,include,appended,M00111,MEF2C is displayed in the homeostatic microglia marker panel used to define the homeostatic microglia cluster; satisfies marker identity and annotation use.
DOI_10.1038_s41586-021-03710-0,A_exclude,microglia,P2RY12,exclude,pass,include,appended,M00112,P2RY12 is explicitly presented as a homeostatic microglia marker and is used in the marker panel defining the homeostatic microglia cluster.
DOI_10.1038_s41586-021-03710-0,new_finding,neuron,NRGN,never_reported,pass,include,appended,M00113,"NRGN is used in the cell-type label 'NRGN neuron', showing it is a marker used for naming/identifying this neuronal subtype."
DOI_10.1038_s41586-021-03710-0,A_exclude,perivascular macrophages,MRC1,exclude,pass,include,appended,M00114,Author explicitly declares MRC1 as a specific cell-type marker for perivascular macrophages and uses it to distinguish/annotate these cells in the cortical immune population.
DOI_10.1038_s41586-021-03710-0,A_exclude,T cells,CD247,exclude,pass,include,appended,M00115,Author explicitly declares CD247 as a specific cell-type marker for T cells and uses it to distinguish/annotate T cells in the cortical immune population.
DOI_10.1038_s41586-020-2922-4,A_exclude,Adventitial fibroblast,BSG,exclude,pass,include,appended,M00116,Author calls BSG a classical fibroblast marker used to identify both fibroblast clusters.
DOI_10.1038_s41586-020-2922-4,A_exclude,Adventitial fibroblast,COL1A2,exclude,pass,include,appended,M00117,Fig.1f labels COL1A2 as a general fibroblast marker also used for adventitial fibroblasts.
DOI_10.1038_s41586-020-2922-4,A_exclude,Adventitial fibroblast,PI16,exclude,pass,include,appended,M00118,PI16 is part of the adventitial fibroblast cluster designation and appears in the stromal marker panel.
DOI_10.1038_s41586-020-2922-4,A_exclude,Adventitial fibroblast,SERPINF1,exclude,pass,include,appended,M00119,Fig.1f explicitly labels SERPINF1 as an adventitial fibroblast marker.
DOI_10.1038_s41586-020-2922-4,A_exclude,Adventitial fibroblast,SFRP2,exclude,pass,include,appended,M00120,SFRP2 is part of the adventitial fibroblast cluster label and appears in the stromal marker panel.
DOI_10.1038_s41586-020-2922-4,new_finding,Adventitial fibroblast,Pi16,never_reported,pass,include,appended,M00121,Pi16 is explicitly labeled a mouse adventitial fibroblast-selective marker.
DOI_10.1038_s41586-020-2922-4,new_finding,Adventitial fibroblast,Serpinf1,never_reported,pass,include,appended,M00122,Serpinf1 is explicitly labeled a mouse adventitial fibroblast-selective marker.
DOI_10.1038_s41586-020-2922-4,new_finding,Airway smooth muscle cell,ACTG2,never_reported,pass,include,appended,M00123,ACTG2 is explicitly labeled an airway smooth muscle marker.
DOI_10.1038_s41586-020-2922-4,new_finding,Airway smooth muscle cell,COX4I2,never_reported,pass,include,appended,M00124,COX4I2 is explicitly labeled an airway smooth muscle marker.
DOI_10.1038_s41586-020-2922-4,A_exclude,Alveolar fibroblast,BSG,exclude,pass,include,appended,M00125,Author calls BSG a classical fibroblast marker and uses it to assign fibroblast identity.
DOI_10.1038_s41586-020-2922-4,A_exclude,Alveolar fibroblast,COL1A2,exclude,pass,include,appended,M00126,Fig.1f explicitly labels COL1A2 as a general fibroblast marker used to identify alveolar/adventitial fibroblasts.
DOI_10.1038_s41586-020-2922-4,A_exclude,Alveolar fibroblast,FGFR4,exclude,pass,include,appended,M00127,FGFR4 is part of the alveolar fibroblast cluster designation and appears in the stromal marker panel.
DOI_10.1038_s41586-020-2922-4,A_exclude,Alveolar fibroblast,GPC3,exclude,pass,include,appended,M00128,Fig.1f explicitly labels GPC3 as an alveolar fibroblast marker.
DOI_10.1038_s41586-020-2922-4,A_exclude,Alveolar fibroblast,SPINT2,exclude,pass,include,appended,M00129,SPINT2 is part of the alveolar fibroblast cluster label and is displayed in the stromal marker panel.
DOI_10.1038_s41586-020-2922-4,new_finding,Alveolar fibroblast,Frfr4,never_reported,pass,include,appended,M00130,Frfr4 in the text is a typographical variant of mouse Fgfr4; explicitly labeled an alveolar fibroblast-selective marker.
DOI_10.1038_s41586-020-2922-4,new_finding,Alveolar fibroblast,Slc7a10,never_reported,pass,include,appended,M00131,Slc7a10 is explicitly labeled a mouse alveolar fibroblast-selective marker and used for localization.
DOI_10.1038_s41586-020-2922-4,new_finding,Alveolar type 1 (AT1),AGER,never_reported,pass,include,appended,M00132,AGER is explicitly labeled an AT1 marker and used in smFISH to identify AT1 cells.
DOI_10.1038_s41586-020-2922-4,A_exclude,Alveolar type 2 (AT2),CA2,exclude,pass,include,appended,M00133,CA2 is part of the AT2 cluster label and appears in the AT2 marker expression panel.
DOI_10.1038_s41586-020-2922-4,A_exclude,Alveolar type 2 (AT2),ETV5,exclude,pass,include,appended,M00134,Author explicitly calls ETV5 a canonical AT2 marker.
DOI_10.1038_s41586-020-2922-4,A_exclude,Alveolar type 2 (AT2),HHIP,exclude,pass,include,appended,M00135,HHIP is used in the AT2 cluster designation and is explicitly presented as an AT2 selective marker.
DOI_10.1038_s41586-020-2922-4,A_exclude,Alveolar type 2 (AT2),SFTPA1,exclude,pass,include,appended,M00136,Author explicitly calls SFTPA1 a canonical AT2 marker used in cluster identification.
DOI_10.1038_s41586-020-2922-4,A_exclude,Alveolar type 2 (AT2),SFTPC,exclude,pass,include,appended,M00137,Fig.1d explicitly labels SFTPC as an AT2 marker and uses it to distinguish AT2 cells.
DOI_10.1038_s41586-020-2922-4,A_exclude,Alveolar type 2 (AT2),WIF1,exclude,pass,include,appended,M00138,Fig.1d explicitly labels WIF1 as a specific AT2 marker used for AT2 identification.
DOI_10.1038_s41586-020-2922-4,new_finding,Artery endothelial cell,GJA5,never_reported,pass,include,appended,M00139,GJA5 is explicitly labeled an artery endothelial marker and used for vessel identification.
DOI_10.1038_s41586-020-2922-4,A_exclude,AT2,MUC1,exclude,pass,include,appended,M00140,Fig.4c explicitly labels MUC1 as an AT2 marker.
DOI_10.1038_s41586-020-2922-4,A_exclude,AT2,SFTPC,exclude,pass,include,appended,M00141,Fig.4d explicitly labels SFTPC as an AT2 marker.
DOI_10.1038_s41586-020-2922-4,A_exclude,AT2-signalling (AT2-s),SFTPC,exclude,pass,include,appended,M00142,Fig.1d labels SFTPC as a shared AT2/AT2-s marker used to distinguish AT2-s cells.
DOI_10.1038_s41586-020-2922-4,A_exclude,AT2-signalling (AT2-s),WIF1,exclude,pass,include,appended,M00143,WIF1 negativity is used in Fig.1d to distinguish AT2-signalling cells from AT2 cells.
DOI_10.1038_s41586-020-2922-4,new_finding,AT2-signalling cell (AT2-s),LRP5,never_reported,pass,include,appended,M00144,LRP5 is explicitly named as an AT2-signalling selective marker.
DOI_10.1038_s41586-020-2922-4,new_finding,AT2-signalling cell (AT2-s),TCF7L2,never_reported,pass,include,appended,M00145,TCF7L2 is explicitly named as an AT2-signalling selective marker.
DOI_10.1038_s41586-020-2922-4,new_finding,AT2-signalling cell (AT2-s),WNT5A,never_reported,pass,include,appended,M00146,WNT5A is explicitly named as an AT2-signalling selective marker in the marker heat map.
DOI_10.1038_s41586-020-2922-4,A_exclude,B cells,CD14,exclude,pass,include,appended,M00147,CD14 is part of the B-cell sorting panel used to generate reference profiles for annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,B cells,CD19,exclude,pass,include,appended,M00148,"CD19 is used in the FACS definition and bulk-sort antibody panel for B cells, contributing to immune cell annotation."
DOI_10.1038_s41586-020-2922-4,A_exclude,B cells,CD27,exclude,pass,include,appended,M00149,CD27 is part of the antibody panel used to sort B cells for reference profiling and annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,B cells,CD4,exclude,pass,include,appended,M00150,CD4 is included in the B-cell bulk-sort antibody panel; the entire panel was used to define the sorted B-cell reference population.
DOI_10.1038_s41586-020-2922-4,A_exclude,B cells,CD20,exclude,pass,include,appended,M00151,CD20 (MS4A1) is part of the B-cell sorting antibody panel used for immune annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,B cells,CD56,exclude,pass,include,appended,M00152,CD56 (NCAM1) is part of the B-cell bulk-sort antibody panel used for immune reference annotation.
DOI_10.1038_s41586-020-2922-4,new_finding,Basal cell,KRT5,never_reported,pass,include,appended,M00153,KRT5 is explicitly labeled a general basal marker and used in smFISH to identify basal cells.
DOI_10.1038_s41586-020-2922-4,A_exclude,"basophils, neutrophils and eosinophils",CCR3,exclude,pass,include,appended,M00154,CCR3 is part of the granulocyte sorting panel used for immune reference annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,"basophils, neutrophils and eosinophils",CD14,exclude,pass,include,appended,M00155,CD14 is part of the granulocyte sorting panel used for reference annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,"basophils, neutrophils and eosinophils",CD19,exclude,pass,include,appended,M00156,CD19 is part of the granulocyte bulk-sort antibody panel used for annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,"basophils, neutrophils and eosinophils",CD123,exclude,pass,include,appended,M00157,CD123 (IL3RA) is part of the antibody panel used to sort basophils/neutrophils/eosinophils for reference annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,"basophils, neutrophils and eosinophils",ITGB7,exclude,pass,include,appended,M00158,ITGB7 is part of the granulocyte bulk-sort antibody panel used for annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,"basophils, neutrophils and eosinophils",CD56,exclude,pass,include,appended,M00159,CD56 (NCAM1) is part of the granulocyte sorting panel used for reference annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,Bronchial endothelial cell,MYC,exclude,pass,include,appended,M00160,Extended Data Fig.3k explicitly labels MYC as a bronchial vessel-specific marker used for bronchial endothelial identification.
DOI_10.1038_s41586-020-2922-4,new_finding,Bronchial vessel 1 cell (Bro1),ACKR1,never_reported,pass,include,appended,M00161,ACKR1 is explicitly labeled a Bro1-specific marker used to identify bronchial vessel 1 cells.
DOI_10.1038_s41586-020-2922-4,A_exclude,CD4+ T cells,CD4,exclude,pass,include,appended,M00162,CD4 is the defining positive marker used to sort and annotate CD4+ T cells.
DOI_10.1038_s41586-020-2922-4,new_finding,Ciliated cell,C20orf85,never_reported,pass,include,appended,M00163,C20orf85 is explicitly labeled a general ciliated marker and used to identify ciliated cells.
DOI_10.1038_s41586-020-2922-4,A_exclude,classical and nonclassical monocytes,CD14,exclude,pass,include,appended,M00164,CD14 is part of the monocyte bulk-sort antibody panel used for reference annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,classical and nonclassical monocytes,CD19,exclude,pass,include,appended,M00165,CD19 is part of the monocyte sorting panel used for reference annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,classical and nonclassical monocytes,CD4,exclude,pass,include,appended,M00166,CD4 is part of the monocyte sorting panel used for reference annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,classical and nonclassical monocytes,CD56,exclude,pass,include,appended,M00167,CD56 (NCAM1) is part of the monocyte bulk-sort antibody panel used for annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,classical monocytes,CD14,exclude,pass,include,appended,M00168,CD14 positivity is the defining marker used for classical monocyte sorting and annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,classical monocytes,CD19,exclude,pass,include,appended,M00169,CD19 negativity is part of the classical monocyte gate definition.
DOI_10.1038_s41586-020-2922-4,A_exclude,classical monocytes,CD56,exclude,pass,include,appended,M00170,CD56 (NCAM1) negativity is part of the classical monocyte gate definition.
DOI_10.1038_s41586-020-2922-4,A_exclude,Dendritic cell,EREG,exclude,pass,include,appended,M00171,EREG is the representative marker gene in the 'EREG+ dendritic' cluster label.
DOI_10.1038_s41586-020-2922-4,A_exclude,Dendritic cell,IGSF21,exclude,pass,include,appended,M00172,IGSF21 is used as the representative marker gene in the cluster name 'IGSF21+ dendritic' for annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,Dendritic cell,TREM2,exclude,pass,include,appended,M00173,TREM2 is the representative marker gene in the 'TREM2+ dendritic' cluster label.
DOI_10.1038_s41586-020-2922-4,new_finding,Dendritic cell (general),GPR183,never_reported,pass,include,appended,M00174,GPR183 is explicitly labeled a general dendritic cell marker.
DOI_10.1038_s41586-020-2922-4,A_exclude,endothelial,CLDN5,exclude,pass,include,appended,M00175,CLDN5 is explicitly used as a tissue compartment marker for endothelial cells and as a general endothelial marker in smFISH.
DOI_10.1038_s41586-020-2922-4,A_exclude,endothelial or stromal,EPCAM,exclude,pass,include,appended,M00176,EPCAM negativity is part of the endothelial/stromal gate definition.
DOI_10.1038_s41586-020-2922-4,A_exclude,endothelial or stromal,CD45,exclude,pass,include,appended,M00177,CD45 negativity is part of the endothelial/stromal gate definition.
DOI_10.1038_s41586-020-2922-4,A_exclude,epithelial,EPCAM,exclude,pass,include,appended,M00178,EPCAM is explicitly used as a compartment marker to designate epithelial cells for sorting and downstream annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,epithelial,CD45,exclude,pass,include,appended,M00179,"CD45 negativity is part of the epithelial gate definition, so it is a negative marker used for epithelial classification."
DOI_10.1038_s41586-020-2922-4,A_exclude,EREG+ dendritic,EREG,exclude,pass,include,appended,M00180,EREG is explicitly the representative marker gene used to name the EREG+ dendritic cluster.
DOI_10.1038_s41586-020-2922-4,new_finding,Fibromyocyte,ACTG2,never_reported,pass,include,appended,M00181,ACTG2 is explicitly labeled a fibromyocyte marker.
DOI_10.1038_s41586-020-2922-4,new_finding,Fibromyocyte,ASPN,never_reported,pass,include,appended,M00182,ASPN is explicitly labeled a fibromyocyte marker.
DOI_10.1038_s41586-020-2922-4,new_finding,Fibromyocyte,COX4I2,never_reported,pass,include,appended,M00183,COX4I2 is explicitly labeled a fibromyocyte marker.
DOI_10.1038_s41586-020-2922-4,A_exclude,IGSF21+ dendritic,IGSF21,exclude,pass,include,appended,M00184,IGSF21 is explicitly the representative marker gene used to name the IGSF21+ dendritic cluster.
DOI_10.1038_s41586-020-2922-4,new_finding,IGSF21+ dendritic cell,GPR34,never_reported,pass,include,appended,M00185,GPR34 is explicitly labeled an IGSF21+ dendritic cell marker and used in smFISH identification.
DOI_10.1038_s41586-020-2922-4,A_exclude,immune,EPCAM,exclude,pass,include,appended,M00186,EPCAM negativity is part of the immune gate definition used for cell classification.
DOI_10.1038_s41586-020-2922-4,A_exclude,immune,PTPRC,exclude,pass,include,appended,M00187,PTPRC is explicitly listed as a tissue compartment marker used to group clusters into immune vs non-immune compartments.
DOI_10.1038_s41586-020-2922-4,A_exclude,immune and endothelial enriched,CD31,exclude,pass,include,appended,M00188,CD31 (PECAM1) is explicitly used to designate the immune/endothelial enriched compartment before further annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,immune and endothelial enriched,CD45,exclude,pass,include,appended,M00189,CD45 (PTPRC) is explicitly used with CD31 to define the immune/endothelial enriched compartment.
DOI_10.1038_s41586-020-2922-4,new_finding,Lipofibroblast,APOE,never_reported,pass,include,appended,M00190,APOE is explicitly labeled a lipofibroblast marker.
DOI_10.1038_s41586-020-2922-4,new_finding,Lymphatic endothelial cell,CCL21,never_reported,pass,include,appended,M00191,CCL21 is explicitly labeled a lymphatic endothelial marker and used for vessel identification.
DOI_10.1038_s41586-020-2922-4,A_exclude,Myofibroblast,elastin,exclude,pass,include,appended,M00192,Fig.4d explicitly labels elastin as a myofibroblast marker in mouse; retained despite non-human species.
DOI_10.1038_s41586-020-2922-4,A_exclude,Myofibroblast,ACTA2,exclude,pass,include,appended,M00193,Author explicitly calls ACTA2 a canonical myofibroblast marker used to identify the myofibroblast clusters.
DOI_10.1038_s41586-020-2922-4,A_exclude,Myofibroblast,ASPN,exclude,pass,include,appended,M00194,ASPN is used in the classical myofibroblast cluster label and explicitly named as a myofibroblast marker.
DOI_10.1038_s41586-020-2922-4,A_exclude,Myofibroblast,FGF18,exclude,pass,include,appended,M00195,FGF18 is part of the classical myofibroblast cluster designation and appears in the stromal marker panel.
DOI_10.1038_s41586-020-2922-4,A_exclude,Myofibroblast,WIF1,exclude,pass,include,appended,M00196,WIF1 is part of the classical myofibroblast cluster label and appears in the stromal marker panel.
DOI_10.1038_s41586-020-2922-4,A_exclude,natural killer cells,CD14,exclude,pass,include,appended,M00197,CD14 negativity is part of the NK cell gate definition.
DOI_10.1038_s41586-020-2922-4,A_exclude,natural killer cells,CD19,exclude,pass,include,appended,M00198,CD19 negativity is part of the NK cell gate definition used for sorting and annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,natural killer cells,CD56,exclude,pass,include,appended,M00199,CD56 (NCAM1) positivity is part of the NK cell gate definition.
DOI_10.1038_s41586-020-2922-4,A_exclude,NK cells,CD14,exclude,pass,include,appended,M00200,CD14 is part of the NK sorting panel used for annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,NK cells,CD19,exclude,pass,include,appended,M00201,CD19 is part of the NK bulk-sort antibody panel.
DOI_10.1038_s41586-020-2922-4,A_exclude,NK cells,CD4,exclude,pass,include,appended,M00202,CD4 is part of the NK bulk-sort antibody panel used for reference annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,NK cells,CD56,exclude,pass,include,appended,M00203,CD56 (NCAM1) is part of the NK cell sorting panel used for annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,"pDCs, mDCs, CD16+ DCs",CCR3,exclude,pass,include,appended,M00204,CCR3 is part of the DC sorting panel used for immune reference annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,"pDCs, mDCs, CD16+ DCs",CD14,exclude,pass,include,appended,M00205,CD14 is part of the DC sorting panel used for annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,"pDCs, mDCs, CD16+ DCs",CD19,exclude,pass,include,appended,M00206,CD19 is part of the DC bulk-sort antibody panel.
DOI_10.1038_s41586-020-2922-4,A_exclude,"pDCs, mDCs, CD16+ DCs",CD1c,exclude,pass,include,appended,M00207,CD1C is part of the dendritic cell sorting panel used for generating reference profiles for immune annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,"pDCs, mDCs, CD16+ DCs",CD4,exclude,pass,include,appended,M00208,CD4 is part of the dendritic cell bulk-sort panel used for reference annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,"pDCs, mDCs, CD16+ DCs",CD123,exclude,pass,include,appended,M00209,CD123 (IL3RA) is part of the DC sorting panel used for annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,"pDCs, mDCs, CD16+ DCs",CD11c,exclude,pass,include,appended,M00210,CD11c (ITGAX) is part of the DC bulk-sort antibody panel used for annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,"pDCs, mDCs, CD16+ DCs",CD56,exclude,pass,include,appended,M00211,CD56 (NCAM1) is part of the DC sorting panel used for immune reference annotation.
DOI_10.1038_s41586-020-2922-4,new_finding,Pericyte,COX4I2,never_reported,pass,include,appended,M00212,COX4I2 is explicitly labeled a pericyte marker.
DOI_10.1038_s41586-020-2922-4,new_finding,Proximal basal cell,SERPINB3,never_reported,pass,include,appended,M00213,SERPINB3 is explicitly labeled a proximal basal cell marker and used to distinguish proximal basal cells.
DOI_10.1038_s41586-020-2922-4,new_finding,Proximal ciliated cell,DHRS9,never_reported,pass,include,appended,M00214,DHRS9 is explicitly labeled a proximal ciliated marker and used to localize proximal ciliated cells.
DOI_10.1038_s41586-020-2922-4,A_exclude,stromal,COL1A2,exclude,pass,include,appended,M00215,COL1A2 is explicitly listed as a tissue compartment marker for stromal cells.
DOI_10.1038_s41586-020-2922-4,A_exclude,T cells,CCR7,exclude,pass,include,appended,M00216,CCR7 is part of the T-cell sorting panel used for annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,T cells,CD14,exclude,pass,include,appended,M00217,CD14 is part of the T-cell sorting panel.
DOI_10.1038_s41586-020-2922-4,A_exclude,T cells,CD19,exclude,pass,include,appended,M00218,CD19 is part of the T-cell sorting panel.
DOI_10.1038_s41586-020-2922-4,A_exclude,T cells,CD4,exclude,pass,include,appended,M00219,CD4 is part of the T-cell sorting panel used for annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,T cells,CD11b,exclude,pass,include,appended,M00220,CD11b (ITGAM) is part of the T-cell sorting panel used for reference annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,T cells,CD56,exclude,pass,include,appended,M00221,CD56 (NCAM1) is part of the T-cell sorting panel used for immune annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,T cells,CD45RA,exclude,pass,include,appended,M00222,CD45RA is an isoform marker encoded by PTPRC and is part of the T-cell sorting panel used for immune reference annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,T cells,CD62L,exclude,pass,include,appended,M00223,CD62L (SELL) is part of the T-cell sorting panel used for reference annotation.
DOI_10.1038_s41586-020-2922-4,A_exclude,TREM2+ dendritic,TREM2,exclude,pass,include,appended,M00224,TREM2 is explicitly the representative marker gene used to name the TREM2+ dendritic cluster.
DOI_10.1038_s41586-020-2922-4,new_finding,TREM2+ dendritic cell,CHI3L1,never_reported,pass,include,appended,M00225,CHI3L1 is explicitly labeled a TREM2+ dendritic cell marker and used in smFISH identification.
DOI_10.1038_s41586-020-2922-4,new_finding,Vein endothelial cell,ACKR1,never_reported,pass,include,appended,M00226,ACKR1 is explicitly labeled a vein endothelial marker and used for vessel-type identification.
