collection_id,collection_name,total_datasets,selected_dataset_id,selected_cell_count,dropped_dataset_ids
b1a879f6-5638-48d3-8f64-f6592c1b1561,Mapping the developing human immune system across organs,2,fd072bc3-2dfb-46f8-b4e3-467cb3223182,908046,d0c12af4-c0e4-4c7b-873a-70752b449689
2d2e2acd-dade-489f-a2da-6c11aa654028,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,4,3dc61ca1-ce40-46b6-8337-f27260fd9a03,71752,703f00e6-b996-48e5-bc34-00c41b9876f4; 4023a2bc-6325-47db-bfdf-9639e91042c2; e8a11a27-9c47-4673-b65d-11b9cd6065e1
0b9d8a04-bb9d-44da-aa27-705bb65b54eb,Tabula Muris Senis,5,48b37086-25f7-4ecd-be66-f5bb378e3aea,245389,0fb7916e-7a68-4a4c-a441-3ab3989f29a7; 1fe63353-9e75-4824-aa30-ed8d84be748c; 2491629a-bde0-46ad-a073-e34fcb516857; 05e6f6e3-0473-4b85-9f94-bcc5f1b5e04b
5d445965-6f1a-4b68-ba3a-b8f765155d3a,A molecular cell atlas of the human lung from single cell RNA sequencing,2,8c42cfd0-0b0a-46d5-910c-fc833d83c45e,65662,e04daea4-4412-45b5-989e-76a9be070a89
ef9f0fae-c12c-4f1a-bb67-63346c2ae0f1,Single Nuclei Atlas of Innervated and Denervated Mouse Muscle,3,a48343a2-7570-49d0-8849-9db6c21dffcb,102688,586bc89e-a4a1-4f60-a7b4-3d191f982286; 2ab892f9-d2b0-40d0-9a62-a376ee5d4334
4d82bd8e-8827-410b-8fc7-685b7dd92585,Spatially organized multicellular immune hubs in human colorectal cancer,3,16023185-de21-4c0d-a9c8-73abdd52d142,370115,81c2d711-7fd5-48f0-bc74-57229f3c9554; f89af62b-4059-4fb9-8bc0-e8e189c4c340
17481d16-ee44-49e5-bcf0-28c0780d8c4a,Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,2,b46237d1-19c6-4af2-9335-9854634bad16,62849,8e47ed12-c658-4252-b126-381df8d52a3d
8191c283-0816-424b-9b61-c3e1d6258a77,Spatial multi-omic map of human myocardial infarction,3,1c739a3e-c3f5-49d5-98e0-73975e751201,191795,72a69193-d84a-42f6-98a3-d7ef0ec0c381; f15e263b-6544-46cb-a46e-e33ab7ce8347
1cbfb478-2c7f-4d15-b522-9f74e9fe52a8,Progressive plasticity during colorectal cancer metastasis,3,829a3cd1-a466-49f1-b2e9-d3f6b7f392e2,47107,5ee552f5-834c-4766-92c8-5a09dfd45767; 4b5afdf9-9299-4655-9218-c9f67b3776e7
a48f5033-3438-4550-8574-cdff3263fdfd,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,2,e40c6272-af77-4a10-9385-62a398884f27,65088,d6dfdef1-406d-4efb-808c-3c5eddbfe0cb
120e86b4-1195-48c5-845b-b98054105eec,Spatiotemporal immune zonation of the human kidney,2,d7dcfd8f-2ee7-4385-b9ac-e074c23ed190,27197,c52de62a-058d-4d78-a464-bdf552378f43
c1241244-b22d-483d-875b-75699efb9f3c,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,3,093d3bfe-6f0f-4ac0-a7a1-829f94d0a49f,193108,0e9d47fb-89b1-42d8-b426-2c7630b5f5fa; e871881f-b42d-4500-906d-0972a14ba47d
e5f58829-1a66-40b5-a624-9046778e74f5,Tabula Sapiens,5,a357414d-2042-4eb5-95f0-c58604a18bdd,42036,7357cee7-9f7f-4ab0-8cec-90de8f047e38; bb78adbb-1428-4468-bad0-63602bb974e9; 9ba03780-4b13-44bc-a7d3-ce532ea0a856; e6a11140-2545-46bc-929e-da243eed2cae
8c782494-01ed-491b-97b9-6f0d3b76c676,Transcriptomic and spatial dissection of human ex vivo right atrial tissue reveals proinflammatory microvascular changes in ischemic heart disease,2,8f4f8502-9170-4ac2-9707-3b6985ebfe5f,221756,f1606894-59df-4794-a37f-baa7c6fb6de1
f11cb29c-b546-4738-9bd8-66ea621a7bd5,Single-cell integration reveals metaplasia in inflammatory gut diseases,11,19053a82-9c89-4fb8-bd19-d7b1800b0b7b,1596200,e6aaf5a4-16e9-4ea6-9733-4eafd4e473d3; bb0818d3-474e-44f4-a82a-169f3c62c94c; 7be23e52-e357-45d6-861f-31166913104e; 07574da2-6bd3-4708-a04d-27d95c009f4e; 763d1d88-b38d-4ab0-b00f-72df816b4b08; 6d50d513-c158-4b0f-b1df-b54c8572163b; 0d3807bf-97f0-4ec5-9611-15ada507f0df; d661aeb3-5bf7-497d-832f-2399a1ef9b63; 6f30673d-0464-4d3c-9568-96a266a9b6f6; 5525b4bd-e4e1-49d2-8734-0e7e14c5515f
bdac7a53-fe34-4f04-8c46-f9bd5297c099,Profiling of epithelial functional states and fibroblast phenotypes in hormone therapy-naïve localised prostate cancer,2,881e0e6b-a185-45f1-9b56-81606e91e7ff,68322,20de8570-f01a-4016-9e0d-7e2bfb43932a
6282a908-f162-44a2-99a3-8a942e4271b2,Integrated human endoderm-derived organoids cell atlas (HEOCA),3,6725ee8e-ef5b-4e68-8901-61bd14a1fe73,806646,776a1e4a-f141-49bb-9978-d0588a4cee9f; 569bce19-14c3-436f-bebf-543e5ea025dc
cee845e3-ec04-4781-9e2a-28734bb4f7ba,HTAN CHOP - Longitudinal single-cell multiomic atlas of high-risk neuroblastoma reveals chemotherapy-induced tumor microenvironment rewiring,2,afae4675-434d-4e89-b5ce-2854c9dc38a3,372619,232e432a-cef1-4654-8850-3c80244c1a0c
dfc09a93-bce0-4c77-893d-e153d1b7f9fa,Charting human development using a multi-endodermal organ atlas and organoid models,2,9968be68-ab65-4a38-9e1a-c9b6abece194,155232,ee195b7d-184d-4dfa-9b1c-51a7e601ac11
a18474f4-ff1e-4864-af69-270b956cee5b,Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,3,7bb64315-9e5a-41b9-9235-59acf9642a3e,293823,e5233a94-9e43-418c-8209-6f1400c31530; 773b9b2e-70c8-40be-8cbb-e7b5abab360d
2d40e6a7-f2fd-49ba-9db9-6b97e4c6dad5,Human skeletal muscle ageing atlas,3,b3c9904b-2ffd-4038-8620-ee1c5b072e9c,183161,1851b6ab-2386-40a1-8c2a-b7cd895b889e; bedee313-cbf4-44a5-a0cd-2ca5bb2068dc
3db5617e-9f12-4eb4-8416-94893a0d7c46,Epithelial zonation along the mammalian small intestine defines five discrete metabolic domains,2,a5ab6cde-46d4-4667-9b32-cfce54fa7a4e,19847,b6ee0939-b5b9-4e03-9d69-96fb6bf5d434
f30e0bf7-7b03-44b0-b312-cda799ef0240,"iPSC-derived small intestine-on-chip with self-organizing epithelial, mesenchymal and neural cells",2,51d9716c-50bb-4fd8-8d1e-7d9329969cb7,11177,f7ca7eb9-0919-4eba-99a1-21ba382b4174
854c0855-23ad-4362-8b77-6b1639e7a9fc,Automatic cell-type harmonization and integration across Human Cell Atlas datasets,2,cbec7853-d996-4493-bbf8-5d82857a4e51,263275,364bd0c7-f7fd-48ed-99c1-ae26872b1042
ff668d5d-5b3f-49ee-a007-ff0664bf35ec,Single-cell transcriptome analysis reveals differential nutrient absorption functions in human intestine,3,248cf7bf-508b-4c28-a2fd-cabe2ab956aa,5980,4e74d843-8d7a-497a-918a-f079ef141b6d; 80d7111d-f9fe-49fd-871e-6e618312c341
