task_no,paper_id,paper_title,task_species,target_cell_scope,tissue,paper_status,marker_records,include,context_only,exclude,unresolved,issues,audit_model
28,DOI_10.1016_j.cell.2017.09.004,Single-Cell Analysis of Human Pancreas Reveals Transcriptional Signatures of Aging and Somatic Mutation Patterns.,Homo sapiens,L4:Type D enteroendocrine cell,islet of Langerhans,corrected,2,0,0,2,0,2,deepseek-v4-flash
29,DOI_10.1038_s41591-024-03215-z,A multi-modal single-cell and spatial expression map of metastatic breast cancer biopsies across clinicopathological features.,Homo sapiens,—,liver,unresolved,45,0,0,45,0,3,deepseek-v4-flash
30,DOI_10.1038_s42003-021-02562-8,Identification of distinct tumor cell populations and key genetic mechanisms through single cell sequencing in hepatoblastoma.,Homo sapiens,—,liver,no_formal_target_marker,27,0,0,27,0,2,deepseek-v4-flash
31,DOI_10.1038_s41588-025-02158-6,Longitudinal single-cell multiomic atlas of high-risk neuroblastoma reveals chemotherapy-induced tumor microenvironment rewiring.,Homo sapiens,L2:Schwann cell,abdomen,unresolved,54,0,0,52,2,7,deepseek-v4-flash
32,DOI_10.1038_s41586-021-03929-x,Blood and immune development in human fetal bone marrow and Down syndrome.,Homo sapiens,L2:Schwann cell,bone marrow,corrected,37,0,0,37,0,3,deepseek-v4-flash
33,DOI_10.1038_s41588-025-02182-6,An integrated transcriptomic cell atlas of human endoderm-derived organoids.,Homo sapiens,L2:Schwann cell / L4:Enteroendocrine cell/Neuroendocrine cell,alveolar sac,corrected,20,3,0,17,0,5,deepseek-v4-flash
34,DOI_10.1126_science.abl4290,Single-nucleus cross-tissue molecular reference maps toward understanding disease gene function.,Homo sapiens,L2:Schwann cell / L4:Neuroendocrine cell,anterior wall of left ventricle,corrected,15,0,0,15,0,4,deepseek-v4-flash
35,DOI_10.1126_science.abo0510,Mapping the developing human immune system across organs.,Homo sapiens,L4:Enteroendocrine cell,bone marrow,no_formal_target_marker,58,0,0,58,0,3,deepseek-v4-flash
36,DOI_10.1038_s41467-024-52052-8,The single-cell transcriptomic atlas iPain identifies senescence of nociceptors as a therapeutical target for chronic pain treatment.,Mus musculus,L1:Sensory neuron (DRG),dorsal root ganglion,corrected,6,5,1,0,0,5,deepseek-v4-flash
38,PMID_35115729,Disentangling glial diversity in peripheral nerves at single-nuclei resolution,Mus musculus,NaN,GEO补充(未规范化),corrected,18,18,0,0,0,6,deepseek-v4-flash
39,DOI_10.1101_2025.09.26.678707,Cellular and Spatial Drivers of Unresolved Injury and Functional Decline in the Human Kidney,Mus musculus,L2:Schwann cell,kidney,unresolved,63,0,0,63,0,5,deepseek-v4-flash
40,DOI_10.1038_s41467-021-21783-3,Time-resolved single-cell analysis of Brca1 associated mammary tumourigenesis reveals aberrant differentiation of luminal progenitors.,Mus musculus,L2:Schwann cell,mammary gland,no_formal_target_marker,15,0,0,15,0,3,deepseek-v4-flash
41,DOI_10.1038_s42255-023-00876-x,Delineating mouse β-cell identity during lifetime and in diabetes with a single cell atlas.,Mus musculus,L2:Schwann cell,islet of Langerhans,corrected,67,3,0,64,0,3,deepseek-v4-flash
42,DOI_10.1038_s41586-024-07069-w,A single-cell time-lapse of mouse prenatal development from gastrula to birth.,Mus musculus,L1:Efferent neuron/Enteric neuron/Parasympathetic neuron/Peripheral nervous system neuron/Sensory neuron (DRG)/Sympathetic neuron / L2:Schwann cell precursor/Myelinating Schwann cell/Satellite glial cell / L4:Intestinal enteroendocrine cell,embryo,corrected,1,1,0,0,0,3,deepseek-v4-flash
43,DOI_10.1038_s41586-020-2496-1,A single-cell transcriptomic atlas characterizes ageing tissues in the mouse.,Mus musculus,L1:Cardiac neuron / L2:Schwann cell / L4:Neuroendocrine cell/Pulmonary neuroendocrine cell,adipose tissue,corrected,24,0,0,24,0,2,deepseek-v4-flash
44,DOI_10.1038_s42003-024-07315-x,Cross-species single-cell RNA-seq analysis reveals disparate and conserved cardiac and extracardiac inflammatory responses upon heart injury.,Mus musculus,L2:Schwann cell,blood,no_formal_target_marker,80,0,0,80,0,3,deepseek-v4-flash
