paper_id,cell_type,subtype,species,is_pns_cell,gene,evidence_level,source_section,source_context
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT2-signalling cell,,human,false,CYP4B1,implied,"Results: New lung cell types, subtypes and states","The other, tenfold less-abundant cluster (AT2-signalling cells) selectively expressed genes involved in Wnt signalling (WNT5A, LRP5, CTNNBIP and TCF7L2) and detoxification (CP, GSTA1 and CYP4B1)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Alveolar fibroblast,,human,false,BSG,explicit,"Results: New lung cell types, subtypes and states",Two clusters expressed classical fibroblast markers (BSG and COL1A2) (Fig. 1e) but one (SPINT2+FGFR4+GPC3+) localized to alveoli (‘alveolar fibroblasts’)
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Alveolar fibroblast,,human,false,COL1A2,explicit,"Results: New lung cell types, subtypes and states",Two clusters expressed classical fibroblast markers (BSG and COL1A2) (Fig. 1e) but one (SPINT2+FGFR4+GPC3+) localized to alveoli (‘alveolar fibroblasts’)
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Alveolar fibroblast,,human,false,SPINT2,explicit,"Results: New lung cell types, subtypes and states",one (SPINT2+FGFR4+GPC3+) localized to alveoli (‘alveolar fibroblasts’)
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Alveolar fibroblast,,human,false,FGFR4,explicit,"Results: New lung cell types, subtypes and states",one (SPINT2+FGFR4+GPC3+) localized to alveoli (‘alveolar fibroblasts’)
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Alveolar fibroblast,,human,false,GPC3,explicit,"Results: New lung cell types, subtypes and states",one (SPINT2+FGFR4+GPC3+) localized to alveoli (‘alveolar fibroblasts’)
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Adventitial fibroblast,,human,false,BSG,explicit,"Results: New lung cell types, subtypes and states",Two clusters expressed classical fibroblast markers (BSG and COL1A2) (Fig. 1e) but one (SPINT2+FGFR4+GPC3+) localized to alveoli (‘alveolar fibroblasts’) and the other (SFRP2+PI16+SERPINF1+) to vascular adventitia (‘adventitial fibroblasts’)
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Adventitial fibroblast,,human,false,COL1A2,explicit,"Results: New lung cell types, subtypes and states",Two clusters expressed classical fibroblast markers (BSG and COL1A2) (Fig. 1e) but one (SPINT2+FGFR4+GPC3+) localized to alveoli (‘alveolar fibroblasts’) and the other (SFRP2+PI16+SERPINF1+) to vascular adventitia (‘adventitial fibroblasts’)
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Adventitial fibroblast,,human,false,SFRP2,explicit,"Results: New lung cell types, subtypes and states",the other (SFRP2+PI16+SERPINF1+) to vascular adventitia (‘adventitial fibroblasts’)
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Adventitial fibroblast,,human,false,PI16,explicit,"Results: New lung cell types, subtypes and states",the other (SFRP2+PI16+SERPINF1+) to vascular adventitia (‘adventitial fibroblasts’)
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Adventitial fibroblast,,human,false,SERPINF1,explicit,"Results: New lung cell types, subtypes and states",the other (SFRP2+PI16+SERPINF1+) to vascular adventitia (‘adventitial fibroblasts’)
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Myofibroblast,,human,false,ACTA2,explicit,"Results: New lung cell types, subtypes and states","Two stromal clusters were enriched for ACTA2, a canonical marker of myofibroblasts (Fig. 1e)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Myofibroblast,,human,false,WIF1,explicit,"Results: New lung cell types, subtypes and states",One cluster (WIF1+FGF18+ASPN+) is classical myofibroblasts
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Myofibroblast,,human,false,FGF18,explicit,"Results: New lung cell types, subtypes and states",One cluster (WIF1+FGF18+ASPN+) is classical myofibroblasts
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Myofibroblast,,human,false,ASPN,explicit,"Results: New lung cell types, subtypes and states",One cluster (WIF1+FGF18+ASPN+) is classical myofibroblasts
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Fibromyocyte,,human,false,MYH11,implied,"Results: New lung cell types, subtypes and states","The other (‘fibromyocytes’) showed higher expression of contractile genes (MYH11, CNN1 and TAGLN)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Fibromyocyte,,human,false,CNN1,implied,"Results: New lung cell types, subtypes and states","The other (‘fibromyocytes’) showed higher expression of contractile genes (MYH11, CNN1 and TAGLN)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Fibromyocyte,,human,false,TAGLN,implied,"Results: New lung cell types, subtypes and states","The other (‘fibromyocytes’) showed higher expression of contractile genes (MYH11, CNN1 and TAGLN)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Bronchial vessel endothelial cell,,human,false,VWA1,implied,"Results: New lung cell types, subtypes and states","Thus, bronchial endothelial cells are distinct from their counterparts in the pulmonary circulation, distinguished by matrix (VWA1 and HSPG2), fenestrated morphology (PLVAP) and cell cycle-associated (MYC and HBEGF) genes"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Bronchial vessel endothelial cell,,human,false,HSPG2,implied,"Results: New lung cell types, subtypes and states","Thus, bronchial endothelial cells are distinct from their counterparts in the pulmonary circulation, distinguished by matrix (VWA1 and HSPG2), fenestrated morphology (PLVAP) and cell cycle-associated (MYC and HBEGF) genes"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Bronchial vessel endothelial cell,,human,false,PLVAP,implied,"Results: New lung cell types, subtypes and states","Thus, bronchial endothelial cells are distinct from their counterparts in the pulmonary circulation, distinguished by matrix (VWA1 and HSPG2), fenestrated morphology (PLVAP) and cell cycle-associated (MYC and HBEGF) genes"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Bronchial vessel endothelial cell,,human,false,MYC,implied,"Results: New lung cell types, subtypes and states","Thus, bronchial endothelial cells are distinct from their counterparts in the pulmonary circulation, distinguished by matrix (VWA1 and HSPG2), fenestrated morphology (PLVAP) and cell cycle-associated (MYC and HBEGF) genes"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Bronchial vessel endothelial cell,,human,false,HBEGF,implied,"Results: New lung cell types, subtypes and states","Thus, bronchial endothelial cells are distinct from their counterparts in the pulmonary circulation, distinguished by matrix (VWA1 and HSPG2), fenestrated morphology (PLVAP) and cell cycle-associated (MYC and HBEGF) genes"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,IGSF21+ dendritic cell,,human,false,IGSF21,explicit,Results: Lung immune cell residency signatures,"This included three novel lung dendritic populations: IGSF21+ and rare EREG+ dendritic cells express asthma genes (CCL2, CCL13 and IGSF21) and developmental signals (EREG, VEGFA, AREG), respectively"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,IGSF21+ dendritic cell,,human,false,CCL2,implied,Results: Lung immune cell residency signatures,"IGSF21+ and rare EREG+ dendritic cells express asthma genes (CCL2, CCL13 and IGSF21)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,IGSF21+ dendritic cell,,human,false,CCL13,implied,Results: Lung immune cell residency signatures,"IGSF21+ and rare EREG+ dendritic cells express asthma genes (CCL2, CCL13 and IGSF21)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,EREG+ dendritic cell,,human,false,EREG,explicit,Results: Lung immune cell residency signatures,"IGSF21+ and rare EREG+ dendritic cells express asthma genes (CCL2, CCL13 and IGSF21) and developmental signals (EREG, VEGFA, AREG), respectively"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,EREG+ dendritic cell,,human,false,VEGFA,implied,Results: Lung immune cell residency signatures,"developmental signals (EREG, VEGFA, AREG)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,EREG+ dendritic cell,,human,false,AREG,implied,Results: Lung immune cell residency signatures,"developmental signals (EREG, VEGFA, AREG)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,TREM2+ dendritic cell,,human,false,TREM2,explicit,Results: Lung immune cell residency signatures,"TREM2+ dendritic cells localize to vessels and alveoli and express lipid machinery (APOC1, APOE and CYP27A1)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,TREM2+ dendritic cell,,human,false,APOC1,implied,Results: Lung immune cell residency signatures,"TREM2+ dendritic cells localize to vessels and alveoli and express lipid machinery (APOC1, APOE and CYP27A1)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,TREM2+ dendritic cell,,human,false,APOE,implied,Results: Lung immune cell residency signatures,"TREM2+ dendritic cells localize to vessels and alveoli and express lipid machinery (APOC1, APOE and CYP27A1)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,TREM2+ dendritic cell,,human,false,CYP27A1,implied,Results: Lung immune cell residency signatures,"TREM2+ dendritic cells localize to vessels and alveoli and express lipid machinery (APOC1, APOE and CYP27A1)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Basal cell,,human,false,KRT5,explicit,"Results: New lung cell types, subtypes and states","Another cluster (differentiating basal cells) had reduced expression of KRT5 and increased expression of HES1, KRT7 and SCGB3A2"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Basal cell,,human,false,ALOX15,implied,"Results: New lung cell types, subtypes and states","The other basal cell clusters are distinguished by hundreds of genes, which suggests that they are molecularly distinct cell types that differ in hormone production (ALOX15, ADH7, SNCA) and adhesion (POSTN, ISLR, PCDH7)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Basal cell,,human,false,ADH7,implied,"Results: New lung cell types, subtypes and states","The other basal cell clusters are distinguished by hundreds of genes, which suggests that they are molecularly distinct cell types that differ in hormone production (ALOX15, ADH7, SNCA) and adhesion (POSTN, ISLR, PCDH7)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Basal cell,,human,false,SNCA,implied,"Results: New lung cell types, subtypes and states","The other basal cell clusters are distinguished by hundreds of genes, which suggests that they are molecularly distinct cell types that differ in hormone production (ALOX15, ADH7, SNCA) and adhesion (POSTN, ISLR, PCDH7)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Basal cell,,human,false,POSTN,implied,"Results: New lung cell types, subtypes and states","The other basal cell clusters are distinguished by hundreds of genes, which suggests that they are molecularly distinct cell types that differ in hormone production (ALOX15, ADH7, SNCA) and adhesion (POSTN, ISLR, PCDH7)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Basal cell,,human,false,ISLR,implied,"Results: New lung cell types, subtypes and states","The other basal cell clusters are distinguished by hundreds of genes, which suggests that they are molecularly distinct cell types that differ in hormone production (ALOX15, ADH7, SNCA) and adhesion (POSTN, ISLR, PCDH7)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Basal cell,,human,false,PCDH7,implied,"Results: New lung cell types, subtypes and states","The other basal cell clusters are distinguished by hundreds of genes, which suggests that they are molecularly distinct cell types that differ in hormone production (ALOX15, ADH7, SNCA) and adhesion (POSTN, ISLR, PCDH7)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Differentiating basal cell,,human,false,HES1,explicit,"Results: New lung cell types, subtypes and states","Another cluster (differentiating basal cells) had reduced expression of KRT5 and increased expression of HES1, KRT7 and SCGB3A2"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Differentiating basal cell,,human,false,KRT7,explicit,"Results: New lung cell types, subtypes and states","Another cluster (differentiating basal cells) had reduced expression of KRT5 and increased expression of HES1, KRT7 and SCGB3A2"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Differentiating basal cell,,human,false,SCGB3A2,explicit,"Results: New lung cell types, subtypes and states","Another cluster (differentiating basal cells) had reduced expression of KRT5 and increased expression of HES1, KRT7 and SCGB3A2"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT1 cell,,human,false,MYRF,implied,"Results: Cell markers, regulators and interactions","These include what may be long-sought master regulators of AT1 cells (for example, MYRF), and of pericytes (TBX5)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Pericyte,,human,false,TBX5,implied,"Results: Cell markers, regulators and interactions","These include what may be long-sought master regulators of AT1 cells (for example, MYRF), and of pericytes (TBX5)"
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,Goblet cell,,human,false,SPDEF,explicit,Results: Evolution of cell types and expression,despite conserved expression of canonical markers and master regulator SPDEF
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,goblet cells,,human,false,MUC5B,explicit,Extended Data Fig.11c,Dot plot of expression of canonical goblet cell markers MUC5B and MUC5AC and transcription factor SPDEF in mouse (left) and human (right) goblet cells.
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,goblet cells,,human,false,MUC5AC,explicit,Extended Data Fig.11c,Dot plot of expression of canonical goblet cell markers MUC5B and MUC5AC and transcription factor SPDEF in mouse (left) and human (right) goblet cells.
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,goblet cells,,human,false,SPDEF,explicit,Extended Data Fig.11c,Dot plot of expression of canonical goblet cell markers MUC5B and MUC5AC and transcription factor SPDEF in mouse (left) and human (right) goblet cells.
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT1,,human,false,AGER,explicit,Extended Data Fig.5c,Alveolar section of human lung probed by smFISH for AT1 marker AGER and transcription factor MYRF.
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT1,,human,false,MYRF,implied,Extended Data Fig.5c,"MYRF is selectively expressed in AT1 cells (arrowheads; 97% of MYRF+ cells were AGER+, n = 250 scored cells)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT2,,human,false,SFTPC,explicit,Extended Data Fig.8e,"smFISH of alveolar section of adult human lung probed for COPD or emphysema gene SERPINA1 and AT2 marker SFTPC, and DAPI."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT2,,human,false,HHIP,explicit,Extended Data Fig.3i,"AT2 selective markers include negative regulators of Hedgehog and Wnt signalling pathways (for example, HHIP and WIF1, highlighted red)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT2,,human,false,WIF1,explicit,Extended Data Fig.3i,"AT2 selective markers include negative regulators of Hedgehog and Wnt signalling pathways (for example, HHIP and WIF1, highlighted red)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT2-signalling,,human,false,WNT5A,explicit,Extended Data Fig.3i,"AT2-signalling selective markers include Wnt ligands, receptors and transcription factors (for example, WNT5A, LRP5 and TFC7L2 highlighted green)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT2-signalling,,human,false,LRP5,explicit,Extended Data Fig.3i,"AT2-signalling selective markers include Wnt ligands, receptors and transcription factors (for example, WNT5A, LRP5 and TFC7L2 highlighted green)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,AT2-signalling,,human,false,TFC7L2,explicit,Extended Data Fig.3i,"AT2-signalling selective markers include Wnt ligands, receptors and transcription factors (for example, WNT5A, LRP5 and TFC7L2 highlighted green)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,ciliated cells,,human,false,C20orf85,explicit,Extended Data Fig.3h,smFISH and quantification of human pseudostratified epithelial (left) and simple epithelial (right) airways for general ciliated marker C20orf85 (white) and proximal ciliated marker DHRS9 (red).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,proximal ciliated cells,,human,false,DHRS9,explicit,Extended Data Fig.3h,smFISH and quantification of human pseudostratified epithelial (left) and simple epithelial (right) airways for general ciliated marker C20orf85 (white) and proximal ciliated marker DHRS9 (red).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,basal cells,,human,false,KRT5,explicit,Extended Data Fig.3c,"Immunostaining of adult human pseudostratified airway for differentiation marker HES1 (green) in basal cells (marked by KRT5, red) with DAPI counter stain (blue)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,proximal basal cells,,human,false,SERPINB3,explicit,Extended Data Fig.3f,RNAscope smFISH and quantification for general basal marker KRT5 (red) and proximal basal cell marker SERPINB3 (white) with DAPI counter stain (blue).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,myofibroblasts,,human,false,ASPN,explicit,Extended Data Fig.4f,smFISH and quantification of cell abundance in human alveolar (f) and pseudostratified epithelial airway (g) sections probed for myofibroblast and fibromyocyte marker ASPN (red).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,fibromyocytes,,human,false,ASPN,explicit,Extended Data Fig.4f,smFISH and quantification of cell abundance in human alveolar (f) and pseudostratified epithelial airway (g) sections probed for myofibroblast and fibromyocyte marker ASPN (red).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,fibromyocytes,,human,false,COX4I2,explicit,Extended Data Fig.4g,probed for fibromyocyte and airway smooth muscle markers COX4I2 (white; f) and ACTG2 (white; g).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,fibromyocytes,,human,false,ACTG2,explicit,Extended Data Fig.4g,probed for fibromyocyte and airway smooth muscle markers COX4I2 (white; f) and ACTG2 (white; g).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,airway smooth muscle,,human,false,COX4I2,explicit,Extended Data Fig.4g,probed for fibromyocyte and airway smooth muscle markers COX4I2 (white; f) and ACTG2 (white; g).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,airway smooth muscle,,human,false,ACTG2,explicit,Extended Data Fig.4g,probed for fibromyocyte and airway smooth muscle markers COX4I2 (white; f) and ACTG2 (white; g).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,alveolar fibroblasts,,human,false,COL1A2,explicit,Extended Data Fig.4a,smFISH probes: general fibroblast marker COL1A2 (white) and alveolar fibroblast-selective marker GPC3 (red).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,alveolar fibroblasts,,human,false,GPC3,explicit,Extended Data Fig.4a,smFISH probes: general fibroblast marker COL1A2 (white) and alveolar fibroblast-selective marker GPC3 (red).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,alveolar fibroblasts,,human,false,FGFR4,explicit,Extended Data Fig.4e,"Heat map of expression of representative general, adventitial-selective, and alveolar-selective fibroblast markers in 50 randomly selected cells from adventitial (left) and alveolar (right) fibroblast clusters (SS2 dataset). Note specialization (highlighted red) in growth factors (AdvF: PDGFRL, IGFBP4; AlvF: FGFR4, VEGFD)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,alveolar fibroblasts,,human,false,VEGFD,explicit,Extended Data Fig.4e,"Heat map of expression of representative general, adventitial-selective, and alveolar-selective fibroblast markers in 50 randomly selected cells from adventitial (left) and alveolar (right) fibroblast clusters (SS2 dataset). Note specialization (highlighted red) in growth factors (AdvF: PDGFRL, IGFBP4; AlvF: FGFR4, VEGFD)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,alveolar fibroblasts,,human,false,Slc7a10,explicit,Extended Data Fig.4b,smFISH probes: alveolar fibroblast-selective markers Slc7a10 (white) and Frfr4 (red).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,alveolar fibroblasts,,human,false,Frfr4,explicit,Extended Data Fig.4b,smFISH probes: alveolar fibroblast-selective markers Slc7a10 (white) and Frfr4 (red).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,adventitial fibroblasts,,human,false,COL1A2,explicit,Extended Data Fig.4c,smFISH probes: general fibroblast marker COL1A2 (white) and adventitial fibroblast-selective marker SERPINF1 (red).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,adventitial fibroblasts,,human,false,SERPINF1,explicit,Extended Data Fig.4c,smFISH probes: general fibroblast marker COL1A2 (white) and adventitial fibroblast-selective marker SERPINF1 (red).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,adventitial fibroblasts,,human,false,PDGFRL,explicit,Extended Data Fig.4e,"Heat map of expression of representative general, adventitial-selective, and alveolar-selective fibroblast markers in 50 randomly selected cells from adventitial (left) and alveolar (right) fibroblast clusters (SS2 dataset). Note specialization (highlighted red) in growth factors (AdvF: PDGFRL, IGFBP4; AlvF: FGFR4, VEGFD)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,adventitial fibroblasts,,human,false,IGFBP4,explicit,Extended Data Fig.4e,"Heat map of expression of representative general, adventitial-selective, and alveolar-selective fibroblast markers in 50 randomly selected cells from adventitial (left) and alveolar (right) fibroblast clusters (SS2 dataset). Note specialization (highlighted red) in growth factors (AdvF: PDGFRL, IGFBP4; AlvF: FGFR4, VEGFD)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,adventitial fibroblasts,,human,false,SFRP2,explicit,Extended Data Fig.4e,"Heat map of expression of representative general, adventitial-selective, and alveolar-selective fibroblast markers in 50 randomly selected cells from adventitial (left) and alveolar (right) fibroblast clusters (SS2 dataset). Note specialization (highlighted red) in growth factors (AdvF: PDGFRL, IGFBP4; AlvF: FGFR4, VEGFD) and morphogen (AdvF: SFRP2; AlvF: NKD1, DKK3) signalling or regulation."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,adventitial fibroblasts,,human,false,Pi16,explicit,Extended Data Fig.4d,smFISH probes: adventitial fibroblast-selective markers Pi16 (white) and Serpinf1 (red).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,adventitial fibroblasts,,human,false,Serpinf1,explicit,Extended Data Fig.4d,smFISH probes: adventitial fibroblast-selective markers Pi16 (white) and Serpinf1 (red).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,pericytes,,human,false,COX4I2,explicit,Extended Data Fig.4h,"smFISH of human alveolar sections probed for general stromal marker COL1A2 (white), pericyte marker COX4I2 (red; h)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,pericytes,,human,false,TBX5,implied,Extended Data Fig.5d,"TBX5 is enriched in pericytes (arrowheads, 92% of TBX5+ cells were COX4I2+, n = 250)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,pericytes,,human,false,KCNK3,implied,Extended Data Fig.8c,"Note pericyte-specific expression (arrowheads, 91% of COX4I2+ pericytes were KCNK3+, n = 77)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,lipofibroblasts,,human,false,APOE,explicit,Extended Data Fig.4i,"smFISH of human alveolar sections probed for general stromal marker COL1A2 (white), pericyte marker COX4I2 (red; h), lipofibroblast marker APOE (red; i)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,endothelial cells,general,human,false,CLDN5,explicit,Extended Data Fig.3k,"smFISH for general endothelial marker CLDN5 (red, centre)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,endothelial cells,bronchial vessel,human,false,MYC,explicit,Extended Data Fig.3k,"bronchial vessel-specific markers MYC (green) and Bro1-specific marker ACKR1 (red, right)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,endothelial cells,Bro1,human,false,ACKR1,explicit,Extended Data Fig.3k,"bronchial vessel-specific markers MYC (green) and Bro1-specific marker ACKR1 (red, right)."
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,endothelial cells,vein,human,false,ACKR1,explicit,Extended Data Fig.3l,smFISH and quantification of vessel types indicated (dotted outlines) showing vein marker ACKR1 (red; l).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,endothelial cells,artery,human,false,GJA5,explicit,Extended Data Fig.3m,smFISH and quantification of vessel types indicated (dotted outlines) showing artery marker GJA5 (red; m).
A_molecular_cell_atlas_of_the_human_lung_from_single-cell_RN,endothelial cells,lymphatic,human,false,CCL21,explicit,Extended Data Fig.3n,smFISH and quantification of vessel types indicated (dotted outlines) showing lymphatic marker CCL21 (red; n).
