filename,sha256,file_size,page_count,status,paper_id,document_id,document_role,registry_doi,registry_pmid,registry_title,observed_dois,observed_pmids,metadata_title,score,title_score,match_basis,issues,read_error
PMID_33915568_A molecular single-cell lung atlas of lethal COVID-19..pdf,d37697c5c4c1557dd863652fb91ff61aca00208a286baeae9486cd8c57fb56e2,20688925,33,verified,DOI_10.1038_s41586-021-03569-1,DOI_10.1038_s41586-021-03569-1,primary,10.1038/s41586-021-03569-1,33915568,A molecular single-cell lung atlas of lethal COVID-19.,10.1038/s41586-021-03569-1,,,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_34019796_Charting human development using a multi-endodermal organ atlas and organoid models..pdf,8891b691762ba4d33015ca4a2b99074e33b00ff94b362049c1709274f5f84b6b,14515232,41,verified,DOI_10.1016_j.cell.2021.04.028,DOI_10.1016_j.cell.2021.04.028,primary,10.1016/j.cell.2021.04.028,34019796,Charting human development using a multi-endodermal organ atlas and organoid models.,10.1016/j.cell.2021.04.028,,Charting human development using a multi-endodermal organ atlas and organoid models,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_34153974_Dysregulation of brain and choroid plexus cell types in severe COVID-19..pdf,7392b687958fe275312256e2d51a363c63711dc84653fe7e8d904aa56250c4a4,15753777,26,verified,DOI_10.1038_s41586-021-03710-0,DOI_10.1038_s41586-021-03710-0,primary,10.1038/s41586-021-03710-0,34153974,Dysregulation of brain and choroid plexus cell types in severe COVID-19.,10.1038/s41586-021-03710-0,,Dysregulation of brain and choroid plexus cell types in severe COVID-19,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_34352228_Impaired local intrinsic immunity to SARS-CoV-2 infection in severe COVID-19..pdf,05e59f45176a7aa48dcc24a5f9ac73e546ac9d153ed6945678cc2b8d14916766,39155374,44,verified,DOI_10.1016_j.cell.2021.07.023,DOI_10.1016_j.cell.2021.07.023,primary,10.1016/j.cell.2021.07.023,34352228,Impaired local intrinsic immunity to SARS-CoV-2 infection in severe COVID-19.,10.1016/j.cell.2021.07.023,,Impaired local intrinsic immunity to SARS-CoV-2 infection in severe COVID-19,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_34450029_Spatially organized multicellular immune hubs in human colorectal cancer..pdf,f920a9d872157fcc7b7c4a7334c3121e1a75fcba8f1914450b7f1dc26b2e67b3,15737777,40,verified,DOI_10.1016_j.cell.2021.08.003,DOI_10.1016_j.cell.2021.08.003,primary,10.1016/j.cell.2021.08.003,34450029,Spatially organized multicellular immune hubs in human colorectal cancer.,10.1016/j.cell.2021.08.003;10.1016/j.cell.2021.08.003ll,,Spatially organized multicellular immune hubs in human colorectal cancer,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,registry_path_conflict,
PMID_34497364_Identification of distinct tumor cell populations and key genetic mechanisms through single cell seq.pdf,8118d25397e66a80ee55b6aec37034446bdf8013a43214004f364c467ee06c84,7073265,14,verified,DOI_10.1038_s42003-021-02562-8,DOI_10.1038_s42003-021-02562-8,primary,10.1038/s42003-021-02562-8,34497364,Identification of distinct tumor cell populations and key genetic mechanisms through single cell sequencing in hepatoblastoma.,10.1038/s42003-021-02562-8,,Identification of distinct tumor cell populations and key genetic mechanisms through single cell sequencing in hepatoblastoma,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_34497389_Cells of the human intestinal tract mapped across space and time..pdf,08bf2ffca76f2f50d95371ab9422f6494d8ff91331c26c163e581a3a95b858a1,21961281,40,verified,DOI_10.1038_s41586-021-03852-1,DOI_10.1038_s41586-021-03852-1,primary,10.1038/s41586-021-03852-1,34497389,Cells of the human intestinal tract mapped across space and time.,10.1038/s41586-021-03852-1,,,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_34588693_Blood and immune development in human fetal bone marrow and Down syndrome.pdf,881244d9d420bac9c0ed27c8b5d000e154eba7fdfa214604e6bcc82c16672137,13369795,35,verified,DOI_10.1038_s41586-021-03929-x,DOI_10.1038_s41586-021-03929-x,primary,10.1038/s41586-021-03929-x,34588693,Blood and immune development in human fetal bone marrow and Down syndrome.,10.1038/s41586-021-03929-x,,Blood and immune development in human fetal bone marrow and Down syndrome,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_34825887_Single-nucleus transcriptomic analysis of human dorsal root ganglion neurons..pdf,57dde365fd8b8d1ae086cf02f02905a90289dfc35176b8653085e1a85f4594ae,8143123,21,verified,DOI_10.7554_elife.71752,DOI_10.7554_elife.71752,primary,10.7554/elife.71752,34825887,Single-nucleus transcriptomic analysis of human dorsal root ganglion neurons.,10.7554/elife.71752,,,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_34887578_Insulin is expressed by enteroendocrine cells during human fetal development..pdf,e074a422eb2f41634e72ce924d551f75ff499f351a7f7bd3b2bef1212ffdcd41,18139986,14,verified,DOI_10.1038_s41591-021-01586-1,DOI_10.1038_s41591-021-01586-1,primary,10.1038/s41591-021-01586-1,34887578,Insulin is expressed by enteroendocrine cells during human fetal development.,10.1101/2021.06.07.447234doi,,,260,1.0,filename_pmid;registry_path;strong_title,,
PMID_34910928_Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human.pdf,9272ba636b92cc182111de01594e78f7439295bb2b9a3b4f2011f21b25f4cbdd,20835465,46,verified,DOI_10.1016_j.cell.2021.11.031,DOI_10.1016_j.cell.2021.11.031,primary,10.1016/j.cell.2021.11.031,34910928,Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps.,10.1016/j.cell.2021.11.031,,Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_34937051_Local and systemic responses to SARS-CoV-2 infection in children and adults..pdf,5145d2228f9ffe67d74da9d701aa7f09834ffe97e36d7d3de8f527150429518d,5079560,59,verified,DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,10.1038/s41586-021-04345-x,34937051,Local and systemic responses to SARS-CoV-2 infection in children and adults.,,,Yoshida et al Accepted.pdf,260,1.0,filename_pmid;registry_path;strong_title,,
PMID_35549310_Mapping the developing human immune system across organs..pdf,53e8f4e92f4a09f8fa3257271585d524776764eef36f699e71300db01a4c9b2c,44309115,72,verified,DOI_10.1126_science.abo0510,DOI_10.1126_science.abo0510,primary,10.1126/science.abo0510,35549310,Mapping the developing human immune system across organs.,10.1126/sci,,,260,1.0,filename_pmid;registry_path;strong_title,,
PMID_35549429_Single-nucleus cross-tissue molecular reference maps toward understanding disease gene function..pdf,0b6fb8dd093a3f35ea54eb9e1e4f77912b99f5cb6e435362f6a4f9cd8eb91e86,3856486,38,verified,DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,10.1126/science.abl4290,35549429,Single-nucleus cross-tissue molecular reference maps toward understanding disease gene function.,10.1126/science.abl4290,,Single-nucleus cross-tissue molecular reference maps toward understanding disease gene function,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_36493756_A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulato.pdf,c9c34d0e335aab6aca19f36664f2107a69acba3d1ab77e8a48581bee449f53c5,26074390,46,verified,DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,10.1016/j.cell.2022.11.005,36493756,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates.,10.1016/j.cell.2022.11.005,,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,registry_path_conflict,
PMID_36493780_Organoid modeling of human fetal lung alveolar development reveals mechanisms of cell fate patternin.pdf,766f1e360bbbb0bf42b785254b20e4d94e67a24bd4017103762fea02117aa756,30681310,46,verified,DOI_10.1016_j.stem.2022.11.013,DOI_10.1016_j.stem.2022.11.013,primary,10.1016/j.stem.2022.11.013,36493780,Organoid modeling of human fetal lung alveolar development reveals mechanisms of cell fate patterning and neonatal respiratory disease.,10.1016/j.stem.2022.11.013,,Organoid modeling of human fetal lung alveolar development reveals mechanisms of cell fate patterning and neonatal respiratory disease,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,registry_path_conflict,
PMID_36543915_A spatially resolved atlas of the human lung characterizes a gland-associated immune niche..pdf,1cfbf70662925e2ed2a6b149052f8e519be31477707e6055cf66f3799e4801b1,19652587,39,verified,DOI_10.1038_s41588-022-01243-4,DOI_10.1038_s41588-022-01243-4,primary,10.1038/s41588-022-01243-4,36543915,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche.,10.1038/s41588-022-01243-4;10.1038/s41588-022-01243-4new;10.1038/s41588-022-01243-4surrounding,,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_36720220_The landscape of immune dysregulation in Crohn's disease revealed through single-cell transcriptomic.pdf,d0fe5ca5677c02553c3ddbf1f3f2f356bca74ae9652b4730510253245d78f997,10022283,34,verified,DOI_10.1016_j.immuni.2023.01.002,DOI_10.1016_j.immuni.2023.01.002,primary,10.1016/j.immuni.2023.01.002,36720220,The landscape of immune dysregulation in Crohn's disease revealed through single-cell transcriptomic profiling in the ileum and colon.,10.1016/j.immuni.2023.01.002,,The landscape of immune dysregulation in Crohn's disease revealed through single-cell transcriptomic profiling in the ileum and colon,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,registry_path_conflict,
PMID_36938497_A single-cell comparison of adult and fetal human epicardium defines the age-associated changes in e.pdf,ffc4eea1c7eb308aa2a2e1eb639e50140c4bb3fd4e6923b8a52c8635bd185456,25152528,30,verified,DOI_10.1038_s44161-022-00183-w,DOI_10.1038_s44161-022-00183-w,primary,10.1038/s44161-022-00183-w,36938497,A single-cell comparison of adult and fetal human epicardium defines the age-associated changes in epicardial activity.,10.1038/s44161-022-00183-w;10.1038/s44161-022-00183-woffers;10.1038/s44161-022-00183-wusing,,A single-cell comparison of adult and fetal human epicardium defines the age-associated changes in epicardial activity,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_37291214_An integrated cell atlas of the lung in health and disease..pdf,0de1bb67ea58de19c48035892b4c5d7b44333e9b237c8916a5a88029cf261448,21570970,47,verified,DOI_10.1038_s41591-023-02327-2,DOI_10.1038_s41591-023-02327-2,primary,10.1038/s41591-023-02327-2,37291214,An integrated cell atlas of the lung in health and disease.,10.1038/s41591-023-02327-2;10.1038/s41591-023-02327-2across;10.1038/s41591-023-02327-2expert,,An integrated cell atlas of the lung in health and disease,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_37516747_Guided construction of single cell reference for human and mouse lung..pdf,ed49ee6ff38b8c10bd50b59af5b753d0ebccd6ca159edc8e81d8c20beb2f4eac,11404221,20,verified,DOI_10.1038_s41467-023-40173-5,DOI_10.1038_s41467-023-40173-5,primary,10.1038/s41467-023-40173-5,37516747,Guided construction of single cell reference for human and mouse lung.,10.1038/s41467-023-40173-5,,Guided construction of single cell reference for human and mouse lung,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_37591828_Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation..pdf,c561f8b5d5732b4775806ca236def455c9f96e05e6242c6beb24f49f2d0cffcb,3756029,18,verified,DOI_10.1038_s41467-023-40505-5,DOI_10.1038_s41467-023-40505-5,primary,10.1038/s41467-023-40505-5,37591828,Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation.,10.1038/s41467-023-40505-5,,Single-cell genomics improves the discovery of risk variants and genes of atrial fibrillation,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_37697055_Delineating mouse β-cell identity during lifetime and in diabetes with a single cell atlas..pdf,fe484ebf5ef0a5103f8c1b3125978857f10e83fd4fd6499b373f030e50823c7a,26632519,42,verified,DOI_10.1038_s42255-023-00876-x,DOI_10.1038_s42255-023-00876-x,primary,10.1038/s42255-023-00876-x,37697055,Delineating mouse β-cell identity during lifetime and in diabetes with a single cell atlas.,10.1038/s42255-023-00876-x;10.1038/s42255-023-00876-xsenescence-associated;10.1038/s42255-023-00876-xmultiple,,Delineating mouse β-cell identity during lifetime and in diabetes with a single cell atlas,480,1.0,primary_pdf_doi;filename_pmid;registry_path;strong_title,,
PMID_37809094_Inflammation-mediated fibroblast activation and immune dysregulation in collagen VII-deficient skin..pdf,aba4b5c3b04310c663b25b6ce0cb537a279fc39875a332b643f22d49a6ba5c05,17085853,20,verified,DOI_10.3389_fimmu.2023.1211505,DOI_10.3389_fimmu.2023.1211505,primary,10.3389/fimmu.2023.1211505,37809094,Inflammation-mediated fibroblast activation and immune dysregulation in collagen VII-deficient skin.,10.3389/fimmu.2023.1211505,,,440,0.934,primary_pdf_doi;filename_pmid;registry_path;title,,
